"id","ride_id","created_at","timezone","device_type","fitness_discipline","ride_title","status","total_work","avg_difficulty","ride_duration","ride_image_url","instructor_id","instructor_name","distance","total_output","avg_pace","avg_speed","avg_output","avg_cadence","avg_resistance"
"1409a8abc60a4278ae8c54c838052baa","579ed1ad25bb44a0aa816cf1f24f2a7f",2022-01-05 06:57:00,"Etc/GMT+5","home_bike_plus","Cycling","30 min EDM Ride","COMPLETE",318871.22,7.915,1800,"https://s3.amazonaws.com/peloton-ride-images/c878daa958253255efb007b7b3bd8883ae258b1c/img_1641424885_7815f169d9384c258c6def069860df00.png","048f0ce00edb4427b2dced6cbeb107fd","Jess King",10.17,319,NA,20.3,177,89,45
"eb9a01ff026f42d1a554894999d66090","98daef543e5243ffbf1be836b5259e46",2022-01-04 08:19:00,"Etc/GMT+5","home_bike_plus","Stretching","5 min Post-Ride Stretch","COMPLETE",0,3.4946,300,"https://s3.amazonaws.com/peloton-ride-images/af2ef3bac91623340115686518174e4f93fcd9af/img_1616184581_0dcd3a9464624b54b48d6977e0d3673d.jpg","c9bd86e59b9b4f96981848467838aa9c","Tunde Oyeneyin",NA,NA,NA,NA,NA,NA,NA
"a84443cb4aa44951ad89b72cf91d5bb7","d163d3ee4b0f46c99ba9cb18c0393928",2022-01-04 07:44:00,"Etc/GMT+5","home_bike_plus","Cycling","30 min Top 50 of 2021 Ride: #20-11","COMPLETE",301097.53,7.586,1800,"https://s3.amazonaws.com/peloton-ride-images/c6586c133231fe4fc666f9cc936573fba68b79c3/img_1640799346_6ecd2f7859af4b2d85ec3fc46174be60.png","f6f2d613dc344e4bbf6428cd34697820","Emma Lovewell",9.92,301,NA,19.9,167,87,46
"ecd9d42b13e24be3ba7a8fdf6b75a201","7eed9945a5dd4fe8bfb09c4314036201",2022-01-03 09:15:00,"Etc/GMT+5","home_bike_plus","Stretching","10 min Foam Rolling: Chest & Back","COMPLETE",0,4.5205,600,"https://s3.amazonaws.com/peloton-ride-images/2ed23e7f2bba0ff279a420faad22ae0ff1b5185a/img_1624653241_73e084d2be00448da7bb8058a3a2ff41.png","561f95c405734d8488ed8dcc8980d599","Hannah Corbin",NA,NA,NA,NA,NA,NA,NA
"21da79cc618e4103a7cd1da45afb0e65","838d94c6cd984293bd34bdc32b7f987f",2022-01-03 08:24:00,"Etc/GMT+5","home_bike_plus","Cycling","45 min Intervals & Arms Ride","COMPLETE",374575.04,8.069,2700,"https://s3.amazonaws.com/peloton-ride-images/14ce9d508ec59f8e36d6268179b21e35b8ebe649/img_1640697608_9145766e850442c18bcffefb51800082.png","f6f2d613dc344e4bbf6428cd34697820","Emma Lovewell",13.36,375,NA,17.8,139,74,47
"508b1791a0d54330aa4a596a4c6fb393","51e2823995df495dbe004d15ff0a3e1e",2022-01-02 06:45:00,"Etc/GMT+5","home_bike_plus","Stretching","10 min Full Body Stretch","COMPLETE",0,3.8197,600,"https://s3.amazonaws.com/peloton-ride-images/1c0a13c5851989b894467f52b6ea71c399bb4025/img_1636366182_803260dd4aa54595bebf45c7e368b89e.png","7f3de5e78bb44d8591a0f77f760478c3","Ben Alldis",NA,NA,NA,NA,NA,NA,NA
"f0dfac6a9e2342d9922932ed2b830c80","1b9f6d61e4fb4ed6a5fefb0e2f4eaebc",2022-01-02 06:32:00,"Etc/GMT+5","home_bike_plus","Cycling","10 min Cool Down Ride","COMPLETE",88615.39,4.6072,600,"https://s3.amazonaws.com/peloton-ride-images/c9e377f5c50b455520a015bce5267fd455b00f44/img_1591828667_a4aa6d2cbb454bdc9949709dd6e86695.png","4904612965164231a37143805a387e40","Kendall Toole",3.16,89,NA,18.9,148,87,43
"f0adc29709aa41439b0640cb82a7f1bb","02352daef4b240d78a4c6778b4e73e8a",2022-01-02 06:08:00,"Etc/GMT+5","home_bike_plus","Cycling","15 min Stacking Stuffer: HIIT Ride","COMPLETE",149240.55,8.2164,900,"https://s3.amazonaws.com/peloton-ride-images/99bd541ffa2d0bff1281f0a3f6cb2e24e0d006ed/img_1637595147_59e490fb16e74244a87d0971c306070d.jpg","05735e106f0747d2a112d32678be8afd","Olivia Amato",4.94,149,NA,19.7,166,80,48
"edacad74c80d45e4aeec9581f08939de","2a42bd411d2e43cd85288f506d2c4e4a",2022-01-02 05:40:00,"Etc/GMT+5","home_bike_plus","Strength","15 min Stacking Stuffer: Flash 15","COMPLETE",0,7.2445,900,"https://s3.amazonaws.com/peloton-ride-images/d6218ea3a3e9e153b95d4232eab29186316b2e3d/img_1638990472_ed346f5ace0041129e6e484e07c82888.png","1b79e462bd564b6ca5ec728f1a5c2af0","Jess Sims",NA,NA,NA,NA,NA,NA,NA
"35f2477455ad43c5b5b45812d44dd489","cd7032d7508b4fbea0f63ebbcec190bb",2022-01-02 05:23:00,"Etc/GMT+5","home_bike_plus","Strength","15 min Stacking Stuffer Arms & Shoulders","COMPLETE",0,6.3934,900,"https://s3.amazonaws.com/peloton-ride-images/c927000073a4c22c8df1d680443530acdebf7a72/img_1639074911_49a0ed1820a64f2185500f6d9875187c.png","f962a2b1b34d424cabab73bef81bc8db","Adrian Williams",NA,NA,NA,NA,NA,NA,NA
"08bb73bf0e614648840548b87d892c74","fcd0756f173346b9a9cd891c16668090",2022-01-01 09:56:00,"Etc/GMT+5","home_bike_plus","Stretching","5 min Post-Ride Stretch","COMPLETE",0,3.4821,300,"https://s3.amazonaws.com/peloton-ride-images/d6abd99209a3e6f80cf8ea8bbfb76e3776c10842/img_1635168401_272240215cc445bf979a439a27de4ff0.jpg","05735e106f0747d2a112d32678be8afd","Olivia Amato",NA,NA,NA,NA,NA,NA,NA
